CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 1994 - Brasil
Quantidade por Município e Ano/mês compet.
Médicos: 06141-De saúde da família
Período:Dez/2005, Dez/2006
"Município";"2005/Dez";"2006/Dez"
"250010 Água Branca";1;3
"250030 Alagoa Grande";12;6
"250040 Alagoa Nova";3;4
"250050 Alagoinha";-;3
"250053 Alcantil";3;1
"250060 Alhandra";4;4
"250073 Amparo";1;1
"250077 Aparecida";-;1
"250080 Araçagi";6;4
"250090 Arara";2;2
"250100 Araruna";8;8
"250110 Areia";5;5
"250120 Areial";-;1
"250130 Aroeiras";3;5
"250135 Assunção";-;1
"250140 Baía da Traição";1;2
"250150 Bananeiras";1;5
"250153 Baraúna";1;1
"250160 Barra de Santa Rosa";5;5
"250157 Barra de Santana";3;3
"250170 Barra de São Miguel";-;2
"250180 Bayeux";20;16
"250190 Belém";4;6
"250200 Belém do Brejo do Cruz";-;1
"250205 Bernardino Batista";-;1
"250210 Boa Ventura";-;1
"250215 Boa Vista";1;1
"250230 Bom Sucesso";1;1
"250240 Bonito de Santa Fé";3;3
"250250 Boqueirão";8;6
"250270 Borborema";1;1
"250280 Brejo do Cruz";1;-
"250300 Caaporã";8;4
"250320 Cabedelo";13;14
"250340 Cacimba de Areia";1;1
"250350 Cacimba de Dentro";1;1
"250355 Cacimbas";1;1
"250360 Caiçara";1;1
"250370 Cajazeiras";8;11
"250380 Caldas Brandão";2;1
"250390 Camalaú";2;1
"250400 Campina Grande";33;49
"250403 Capim";2;-
"250407 Caraúbas";-;1
"250415 Casserengue";3;3
"250420 Catingueira";-;1
"250430 Catolé do Rocha";5;7
"250435 Caturité";2;1
"250440 Conceição";1;4
"250450 Condado";-;2
"250460 Conde";4;7
"250470 Congo";-;2
"250480 Coremas";1;3
"250490 Cruz do Espírito Santo";1;5
"250500 Cubati";-;2
"250510 Cuité";9;8
"250523 Cuité de Mamanguape";1;2
"250520 Cuitegi";3;3
"250527 Curral de Cima";2;2
"250530 Curral Velho";1;1
"250535 Damião";1;-
"250540 Desterro";-;1
"250560 Diamante";1;-
"250580 Duas Estradas";1;1
"250590 Emas";1;1
"250600 Esperança";5;8
"250610 Fagundes";5;4
"250620 Frei Martinho";1;-
"250625 Gado Bravo";3;3
"250630 Guarabira";21;12
"250640 Gurinhém";2;3
"250650 Gurjão";1;-
"250660 Ibiara";3;3
"250260 Igaracy";1;2
"250670 Imaculada";1;5
"250690 Itabaiana";3;3
"250700 Itaporanga";3;4
"250710 Itapororoca";2;2
"250720 Itatuba";1;2
"250730 Jacaraú";2;5
"250740 Jericó";-;1
"250750 João Pessoa";113;149
"250760 Juarez Távora";3;2
"250770 Juazeirinho";1;1
"250780 Junco do Seridó";2;2
"250800 Juru";3;1
"250820 Lagoa de Dentro";4;3
"250830 Lagoa Seca";4;6
"250840 Lastro";1;-
"250850 Livramento";3;3
"250860 Lucena";2;3
"250870 Mãe d'Água";2;2
"250890 Mamanguape";9;9
"250900 Manaíra";1;2
"250910 Mari";4;3
"250915 Marizópolis";1;1
"250920 Massaranduba";2;4
"250930 Mataraca";-;1
"250933 Matinhas";3;1
"250939 Maturéia";3;3
"250950 Montadas";1;1
"250960 Monte Horebe";2;1
"250970 Monteiro";6;9
"250980 Mulungu";2;2
"250990 Natuba";2;2
"251000 Nazarezinho";-;1
"251010 Nova Floresta";3;4
"251030 Nova Palmeira";-;2
"251040 Olho d'Água";1;1
"251050 Olivedos";1;-
"251060 Ouro Velho";1;2
"251065 Parari";1;1
"251080 Patos";20;14
"251100 Pedra Branca";-;1
"251110 Pedra Lavrada";3;2
"251120 Pedras de Fogo";8;8
"251272 Pedro Régis";1;1
"251130 Piancó";3;2
"251140 Picuí";2;3
"251150 Pilar";-;2
"251160 Pilões";1;1
"251170 Pilõezinhos";1;1
"251180 Pirpirituba";1;2
"251190 Pitimbu";5;3
"251200 Pocinhos";3;4
"251203 Poço Dantas";1;-
"251210 Pombal";4;4
"251220 Prata";-;2
"251230 Princesa Isabel";3;4
"251240 Puxinanã";-;3
"251250 Queimadas";5;11
"251270 Remígio";1;1
"251274 Riachão";1;1
"251275 Riachão do Bacamarte";1;-
"251276 Riachão do Poço";2;-
"251278 Riacho de Santo Antônio";1;-
"251280 Riacho dos Cavalos";1;1
"251290 Rio Tinto";3;4
"251310 Salgado de São Félix";3;3
"251320 Santa Cruz";3;1
"251330 Santa Helena";1;1
"251335 Santa Inês";1;-
"251340 Santa Luzia";4;4
"251370 Santa Rita";13;18
"251380 Santa Teresinha";2;2
"251350 Santana de Mangueira";-;1
"251392 São Bentinho";1;-
"251390 São Bento";5;7
"251394 São Domingos do Cariri";-;1
"250070 São João do Rio do Peixe";3;2
"251410 São João do Tigre";1;1
"251420 São José da Lagoa Tapada";1;1
"251430 São José de Caiana";-;1
"251450 São José de Piranhas";-;2
"251455 São José de Princesa";-;2
"251465 São José do Brejo do Cruz";1;-
"251470 São José do Sabugi";2;1
"251480 São José dos Cordeiros";-;1
"251445 São José dos Ramos";1;-
"251490 São Mamede";2;2
"251500 São Miguel de Taipu";2;1
"251510 São Sebastião de Lagoa de Roça";2;2
"251520 São Sebastião do Umbuzeiro";1;1
"251540 São Vicente do Seridó";-;3
"251530 Sapé";14;13
"251560 Serra da Raiz";3;1
"251570 Serra Grande";-;1
"251580 Serra Redonda";1;-
"251590 Serraria";1;2
"251593 Sertãozinho";-;1
"251597 Sobrado";1;1
"251600 Solânea";4;6
"251610 Soledade";3;3
"251615 Sossêgo";1;-
"251620 Sousa";11;10
"251630 Sumé";4;1
"251640 Tacima";2;2
"251650 Taperoá";4;3
"251660 Tavares";-;3
"251670 Teixeira";-;1
"251675 Tenório";-;1
"251690 Uiraúna";-;2
"251700 Umbuzeiro";1;2
"251710 Várzea";1;1
"251720 Vieirópolis";-;1
"251740 Zabelê";1;1
"260005 Abreu e Lima";22;20
"260010 Afogados da Ingazeira";-;1
"260030 Agrestina";3;2
"260040 Água Preta";3;4
"260060 Alagoinha";3;6
"260070 Aliança";3;2
"260080 Altinho";9;14
"260090 Amaraji";2;4
"260100 Angelim";2;2
"260105 Araçoiaba";7;4
"260110 Araripina";4;4
"260120 Arcoverde";6;4
"260130 Barra de Guabiraba";-;3
"260140 Barreiros";4;4
"260150 Belém de Maria";3;3
"260160 Belém do São Francisco";2;2
"260170 Belo Jardim";9;6
"260180 Betânia";1;-
"260190 Bezerros";6;7
"260200 Bodocó";5;7
"260210 Bom Conselho";3;4
"260220 Bom Jardim";9;6
"260230 Bonito";22;25
"260240 Brejão";3;1
"260260 Brejo da Madre de Deus";8;7
"260270 Buenos Aires";1;1
"260280 Buíque";5;5
"260290 Cabo de Santo Agostinho";30;28
"260300 Cabrobó";3;4
"260310 Cachoeirinha";5;3
"260320 Caetés";2;4
"260330 Calçado";1;1
"260345 Camaragibe";25;23
"260350 Camocim de São Félix";1;2
"260360 Camutanga";2;2
"260370 Canhotinho";3;3
"260380 Capoeiras";3;2
"260390 Carnaíba";3;2
"260392 Carnaubeira da Penha";3;3
"260400 Carpina";2;3
"260410 Caruaru";31;33
"260415 Casinhas";4;3
"260420 Catende";8;7
"260430 Cedro";3;4
"260440 Chã de Alegria";2;4
"260450 Chã Grande";4;2
"260460 Condado";7;6
"260470 Correntes";3;4
"260480 Cortês";3;1
"260490 Cumaru";-;2
"260500 Cupira";6;4
"260510 Custódia";4;4
"260515 Dormentes";-;1
"260520 Escada";1;-
"260530 Exu";5;4
"260540 Feira Nova";2;3
"260545 Fernando de Noronha";-;1
"260550 Ferreiros";2;3
"260560 Flores";1;2
"260570 Floresta";3;4
"260580 Frei Miguelinho";9;8
"260590 Gameleira";4;6
"260600 Garanhuns";12;14
"260610 Glória do Goitá";2;3
"260620 Goiana";10;10
"260630 Granito";1;1
"260640 Gravatá";5;8
"260650 Iati";5;9
"260660 Ibimirim";4;4
"260670 Ibirajuba";4;1
"260680 Igarassu";11;14
"260760 Ilha de Itamaracá";2;3
"260720 Ipojuca";7;9
"260730 Ipubi";4;4
"260765 Itambé";17;7
"260775 Itapissuma";2;2
"260780 Itaquitinga";6;5
"260790 Jaboatão dos Guararapes";37;40
"260795 Jaqueira";2;3
"260800 Jataúba";13;12
"260805 Jatobá";5;3
"260810 João Alfredo";2;5
"260820 Joaquim Nabuco";3;1
"260825 Jucati";2;2
"260830 Jupi";1;2
"260840 Jurema";2;2
"260850 Lagoa de Itaenga";-;2
"260845 Lagoa do Carro";1;1
"260860 Lagoa do Ouro";2;2
"260870 Lagoa dos Gatos";-;1
"260875 Lagoa Grande";5;6
"260880 Lajedo";2;2
"260890 Limoeiro";6;4
"260900 Macaparana";5;3
"260910 Machados";1;2
"260920 Maraial";2;1
"260930 Mirandiba";-;1
"261430 Moreilândia";1;1
"260940 Moreno";9;8
"260950 Nazaré da Mata";2;2
"260960 Olinda";41;27
"260970 Orobó";4;7
"260990 Ouricuri";3;2
"261000 Palmares";9;9
"261010 Palmeirina";-;1
"261020 Panelas";1;3
"261030 Paranatama";2;1
"261040 Parnamirim";6;3
"261050 Passira";4;5
"261060 Paudalho";14;14
"261070 Paulista";20;23
"261080 Pedra";2;4
"261090 Pesqueira";3;7
"261100 Petrolândia";2;1
"261110 Petrolina";24;22
"261120 Poção";2;3
"261130 Pombos";2;2
"261140 Primavera";2;1
"261153 Quixaba";-;1
"261160 Recife";146;154
"261180 Ribeirão";3;2
"261200 Sairé";1;4
"261210 Salgadinho";-;1
"261220 Salgueiro";6;6
"261230 Saloá";1;1
"261240 Sanharó";-;3
"261245 Santa Cruz";3;1
"261247 Santa Cruz da Baixa Verde";2;-
"261250 Santa Cruz do Capibaribe";5;5
"261255 Santa Filomena";2;1
"261260 Santa Maria da Boa Vista";2;2
"261270 Santa Maria do Cambucá";1;2
"261280 Santa Terezinha";2;1
"261290 São Benedito do Sul";1;2
"261300 São Bento do Una";5;2
"261310 São Caitano";5;2
"261320 São João";1;-
"261330 São Joaquim do Monte";2;2
"261340 São José da Coroa Grande";4;3
"261350 São José do Belmonte";3;4
"261360 São José do Egito";-;1
"261370 São Lourenço da Mata";17;13
"261380 São Vicente Ferrer";4;2
"261390 Serra Talhada";2;2
"261410 Sertânia";2;3
"261420 Sirinhaém";3;3
"261450 Surubim";6;6
"261460 Tabira";3;-
"261470 Tacaimbó";1;3
"261480 Tacaratu";2;1
"261485 Tamandaré";3;4
"261500 Taquaritinga do Norte";7;6
"261510 Terezinha";2;2
"261520 Terra Nova";-;1
"261530 Timbaúba";7;8
"261540 Toritama";4;5
"261550 Tracunhaém";1;2
"261560 Trindade";-;1
"261580 Tupanatinga";1;-
"261590 Tuparetama";1;1
"261600 Venturosa";2;2
"261610 Verdejante";3;3
"261618 Vertente do Lério";1;1
"261620 Vertentes";1;2
"261630 Vicência";3;1
"261640 Vitória de Santo Antão";19;12
"261650 Xexéu";2;5
"270010 Água Branca";4;3
"270020 Anadia";3;3
"270030 Arapiraca";21;22
"270040 Atalaia";12;7
"270050 Barra de Santo Antônio";7;4
"270060 Barra de São Miguel";6;2
"270070 Batalha";3;3
"270090 Belo Monte";2;1
"270100 Boca da Mata";10;10
"270110 Branquinha";2;3
"270120 Cacimbinhas";3;3
"270130 Cajueiro";7;7
"270135 Campestre";1;1
"270140 Campo Alegre";8;7
"270150 Campo Grande";3;1
"270160 Canapi";3;3
"270170 Capela";7;6
"270180 Carneiros";2;1
"270190 Chã Preta";1;2
"270200 Coité do Nóia";2;3
"270210 Colônia Leopoldina";3;3
"270220 Coqueiro Seco";2;2
"270230 Coruripe";11;11
"270235 Craíbas";2;1
"270240 Delmiro Gouveia";1;5
"270255 Estrela de Alagoas";3;4
"270260 Feira Grande";3;3
"270270 Feliz Deserto";2;1
"270280 Flexeiras";4;4
"270290 Girau do Ponciano";8;5
"270300 Ibateguara";11;4
"270310 Igaci";3;3
"270320 Igreja Nova";4;3
"270330 Inhapi";1;1
"270340 Jacaré dos Homens";1;2
"270350 Jacuípe";4;3
"270360 Japaratinga";4;2
"270370 Jaramataia";3;-
"270375 Jequiá da Praia";4;4
"270380 Joaquim Gomes";4;7
"270390 Jundiá";2;2
"270400 Junqueiro";5;8
"270410 Lagoa da Canoa";6;6
"270420 Limoeiro de Anadia";2;3
"270430 Maceió";43;45
"270440 Major Isidoro";4;6
"270490 Mar Vermelho";1;-
"270450 Maragogi";9;6
"270470 Marechal Deodoro";5;7
"270480 Maribondo";2;2
"270510 Matriz de Camaragibe";10;8
"270520 Messias";3;4
"270530 Minador do Negrão";1;1
"270540 Monteirópolis";2;2
"270550 Murici";5;5
"270560 Novo Lino";2;2
"270570 Olho d'Água das Flores";4;8
"270580 Olho d'Água do Casado";1;1
"270590 Olho d'Água Grande";5;1
"270600 Olivença";4;3
"270610 Ouro Branco";2;2
"270630 Palmeira dos Índios";16;15
"270640 Pão de Açúcar";5;5
"270642 Pariconha";2;2
"270650 Passo de Camaragibe";11;5
"270660 Paulo Jacinto";3;-
"270670 Penedo";12;10
"270680 Piaçabuçu";4;4
"270690 Pilar";12;9
"270710 Piranhas";3;4
"270720 Poço das Trincheiras";2;3
"270730 Porto Calvo";5;5
"270740 Porto de Pedras";3;4
"270750 Porto Real do Colégio";5;6
"270760 Quebrangulo";-;4
"270770 Rio Largo";15;13
"270780 Roteiro";2;3
"270790 Santa Luzia do Norte";-;1
"270800 Santana do Ipanema";7;7
"270810 Santana do Mundaú";2;-
"270820 São Brás";-;1
"270830 São José da Laje";5;5
"270840 São José da Tapera";5;6
"270850 São Luís do Quitunde";4;8
"270860 São Miguel dos Campos";7;15
"270870 São Miguel dos Milagres";1;1
"270880 São Sebastião";13;9
"270890 Satuba";5;4
"270895 Senador Rui Palmeira";4;3
"270900 Tanque d'Arca";-;1
"270910 Taquarana";5;2
"270915 Teotônio Vilela";9;11
"270920 Traipu";5;5
"270930 União dos Palmares";7;6
"280010 Amparo de São Francisco";1;1
"280020 Aquidabã";13;5
"280030 Aracaju";95;97
"280040 Arauá";3;4
"280050 Areia Branca";5;1
"280060 Barra dos Coqueiros";3;3
"280067 Boquim";10;10
"280070 Brejo Grande";2;2
"280100 Campo do Brito";1;1
"280110 Canhoba";3;1
"280120 Canindé de São Francisco";10;7
"280130 Capela";6;5
"280140 Carira";3;2
"280150 Carmópolis";1;1
"280160 Cedro de São João";-;1
"280170 Cristinápolis";2;1
"280210 Estância";11;13
"280220 Feira Nova";1;1
"280230 Frei Paulo";1;1
"280240 Gararu";2;1
"280270 Ilha das Flores";4;3
"280280 Indiaroba";1;1
"280290 Itabaiana";10;9
"280300 Itabaianinha";4;7
"280320 Itaporanga d'Ajuda";5;4
"280330 Japaratuba";1;2
"280340 Japoatã";2;3
"280350 Lagarto";10;10
"280360 Laranjeiras";1;3
"280370 Macambira";3;2
"280390 Malhador";2;-
"280400 Maruim";7;5
"280410 Moita Bonita";-;1
"280420 Monte Alegre de Sergipe";2;2
"280430 Muribeca";3;3
"280440 Neópolis";2;2
"280450 Nossa Senhora da Glória";-;6
"280460 Nossa Senhora das Dores";7;7
"280480 Nossa Senhora do Socorro";22;21
"280490 Pacatuba";3;3
"280510 Pedrinhas";1;1
"280520 Pinhão";1;1
"280530 Pirambu";1;1
"280540 Poço Redondo";4;6
"280550 Poço Verde";4;5
"280560 Porto da Folha";4;4
"280570 Propriá";3;5
"280580 Riachão do Dantas";4;2
"280590 Riachuelo";1;1
"280600 Ribeirópolis";1;1
"280610 Rosário do Catete";1;1
"280620 Salgado";3;2
"280630 Santa Luzia do Itanhy";2;2
"280640 Santana do São Francisco";2;3
"280660 Santo Amaro das Brotas";2;2
"280670 São Cristóvão";11;10
"280690 São Francisco";1;1
"280700 São Miguel do Aleixo";2;-
"280710 Simão Dias";-;1
"280720 Siriri";3;3
"280730 Telha";1;1
"280740 Tobias Barreto";3;4
"280750 Tomar do Geru";-;4
"280760 Umbaúba";3;2
"290010 Abaíra";1;3
"290020 Abaré";6;6
"290035 Adustina";1;2
"290040 Água Fria";8;3
"290070 Alagoinhas";7;11
"290080 Alcobaça";2;2
"290090 Almadina";4;-
"290100 Amargosa";6;4
"290110 Amélia Rodrigues";2;3
"290115 América Dourada";-;2
"290120 Anagé";3;2
"290130 Andaraí";1;5
"290135 Andorinha";-;1
"290150 Anguera";2;1
"290160 Antas";-;3
"290170 Antônio Cardoso";2;2
"290190 Aporá";3;3
"290200 Aracatu";3;3
"290210 Araci";3;4
"290220 Aramari";3;4
"290230 Aratuípe";2;2
"290260 Baixa Grande";1;1
"290265 Banzaê";3;3
"290270 Barra";-;1
"290280 Barra da Estiva";2;3
"290290 Barra do Choça";10;6
"290320 Barreiras";6;6
"290323 Barro Alto";1;1
"290330 Barro Preto";1;-
"290327 Barrocas";2;3
"290340 Belmonte";3;4
"290350 Belo Campo";1;1
"290360 Biritinga";1;-
"290370 Boa Nova";1;1
"290380 Boa Vista do Tupim";4;4
"290390 Bom Jesus da Lapa";-;6
"290400 Boninal";2;2
"290405 Bonito";-;1
"290420 Botuporã";-;1
"290430 Brejões";2;2
"290440 Brejolândia";1;2
"290450 Brotas de Macaúbas";-;1
"290460 Brumado";5;7
"290470 Buerarema";2;2
"290480 Caatiba";2;1
"290485 Cabaceiras do Paraguaçu";5;3
"290490 Cachoeira";9;11
"290500 Caculé";1;2
"290515 Caetanos";-;3
"290520 Caetité";1;-
"290540 Cairu";4;5
"290560 Camacan";4;3
"290570 Camaçari";21;21
"290580 Camamu";7;7
"290590 Campo Alegre de Lourdes";-;1
"290630 Canavieiras";4;5
"290640 Candeal";-;1
"290650 Candeias";12;12
"290660 Candiba";1;1
"290670 Cândido Sales";3;4
"290680 Cansanção";-;4
"290685 Capela do Alto Alegre";1;1
"290689 Caraíbas";-;3
"290690 Caravelas";5;4
"290700 Cardeal da Silva";2;2
"290710 Carinhanha";-;2
"290730 Castro Alves";3;4
"290740 Catolândia";1;-
"290750 Catu";11;13
"290755 Caturama";2;1
"290770 Chorrochó";1;1
"290780 Cícero Dantas";-;1
"290790 Cipó";4;5
"290800 Coaraci";1;2
"290810 Cocos";1;2
"290820 Conceição da Feira";3;3
"290830 Conceição do Almeida";2;3
"290840 Conceição do Coité";3;4
"290850 Conceição do Jacuípe";1;3
"290860 Conde";2;2
"290870 Condeúba";-;1
"290880 Contendas do Sincorá";-;1
"290890 Coração de Maria";3;2
"290900 Cordeiros";1;2
"290920 Coronel João Sá";2;4
"290950 Cravolândia";2;3
"290960 Crisópolis";4;2
"290970 Cristópolis";2;4
"290980 Cruz das Almas";5;4
"290990 Curaçá";5;5
"291005 Dias d'Ávila";5;6
"291010 Dom Basílio";3;3
"291020 Dom Macedo Costa";2;2
"291030 Elísio Medrado";1;1
"291040 Encruzilhada";1;3
"291050 Entre Rios";1;10
"290050 Érico Cardoso";2;1
"291060 Esplanada";3;4
"291072 Eunápolis";11;8
"291075 Fátima";2;2
"291077 Feira da Mata";1;-
"291080 Feira de Santana";27;36
"291085 Filadélfia";1;-
"291100 Floresta Azul";2;2
"291110 Formosa do Rio Preto";3;4
"291125 Gavião";-;1
"291140 Glória";1;2
"291150 Gongogi";2;2
"291160 Governador Mangabeira";1;1
"291165 Guajeru";2;2
"291170 Guanambi";2;-
"291180 Guaratinga";1;-
"291185 Heliópolis";2;1
"291190 Iaçu";3;6
"291200 Ibiassucê";-;1
"291210 Ibicaraí";5;5
"291220 Ibicoara";2;4
"291240 Ibipeba";1;-
"291260 Ibiquera";1;1
"291280 Ibirapuã";3;3
"291290 Ibirataia";2;1
"291300 Ibitiara";1;2
"291320 Ibotirama";-;1
"291330 Ichu";-;2
"291340 Igaporã";3;4
"291345 Igrapiúna";1;1
"291350 Iguaí";3;3
"291360 Ilhéus";12;13
"291370 Inhambupe";1;2
"291380 Ipecaetá";3;2
"291390 Ipiaú";1;1
"291400 Ipirá";-;1
"291410 Ipupiara";-;2
"291420 Irajuba";1;1
"291440 Iraquara";2;2
"291450 Irará";-;1
"291460 Irecê";3;9
"291465 Itabela";1;3
"291470 Itaberaba";3;3
"291480 Itabuna";11;10
"291500 Itaeté";4;4
"291510 Itagi";1;1
"291530 Itagimirim";1;1
"291535 Itaguaçu da Bahia";-;1
"291540 Itaju do Colônia";-;2
"291550 Itajuípe";1;1
"291560 Itamaraju";2;2
"291570 Itamari";1;2
"291580 Itambé";2;5
"291590 Itanagra";1;1
"291600 Itanhém";5;6
"291610 Itaparica";5;2
"291620 Itapé";1;2
"291630 Itapebi";-;1
"291640 Itapetinga";1;2
"291660 Itapitanga";-;1
"291670 Itaquara";1;2
"291680 Itarantim";1;1
"291690 Itiruçu";4;4
"291700 Itiúba";2;2
"291720 Ituaçu";4;4
"291730 Ituberá";3;5
"291733 Iuiú";-;2
"291735 Jaborandi";-;2
"291740 Jacaraci";-;2
"291750 Jacobina";8;5
"291760 Jaguaquara";3;6
"291770 Jaguarari";-;1
"291780 Jaguaripe";2;2
"291790 Jandaíra";1;-
"291800 Jequié";7;6
"291810 Jeremoabo";-;1
"291830 Jitaúna";1;2
"291835 João Dourado";1;-
"291840 Juazeiro";32;35
"291845 Jucuruçu";2;1
"291855 Jussari";-;1
"291860 Jussiape";2;-
"291870 Lafaiete Coutinho";2;1
"291875 Lagoa Real";3;2
"291880 Laje";5;2
"291890 Lajedão";1;1
"291915 Lapão";1;1
"291920 Lauro de Freitas";13;14
"291930 Lençóis";2;1
"291940 Licínio de Almeida";-;2
"291950 Livramento de Nossa Senhora";2;2
"291960 Macajuba";2;2
"291970 Macarani";1;1
"291980 Macaúbas";-;1
"291990 Macururé";-;3
"291992 Madre de Deus";3;2
"291995 Maetinga";3;3
"292010 Mairi";1;4
"292030 Malhada de Pedras";1;1
"292040 Manoel Vitorino";1;1
"292050 Maracás";1;2
"292060 Maragogipe";2;5
"292070 Maraú";-;1
"292080 Marcionílio Souza";3;2
"292090 Mascote";2;3
"292100 Mata de São João";9;9
"292110 Medeiros Neto";4;3
"292120 Miguel Calmon";1;-
"292140 Mirangaba";2;3
"292145 Mirante";1;-
"292150 Monte Santo";1;1
"292160 Morpará";-;1
"292170 Morro do Chapéu";2;-
"292190 Mucugê";1;-
"292200 Mucuri";6;6
"292210 Mundo Novo";-;3
"292220 Muniz Ferreira";3;3
"292225 Muquém de São Francisco";1;1
"292230 Muritiba";1;-
"292240 Mutuípe";1;1
"292250 Nazaré";3;5
"292260 Nilo Peçanha";1;-
"292265 Nordestina";1;4
"292270 Nova Canaã";1;2
"292273 Nova Fátima";3;2
"292280 Nova Itarana";1;2
"292285 Nova Redenção";-;1
"292300 Nova Viçosa";5;6
"292310 Olindina";1;2
"292320 Oliveira dos Brejinhos";2;3
"292330 Ouriçangas";2;1
"292335 Ourolândia";2;2
"292350 Palmeiras";1;1
"292370 Paratinga";1;1
"292400 Paulo Afonso";7;9
"292405 Pé de Serra";-;1
"292410 Pedrão";2;2
"292430 Piatã";1;2
"292450 Pindaí";4;3
"292460 Pindobaçu";-;1
"292465 Pintadas";1;2
"292470 Piripá";-;2
"292480 Piritiba";3;2
"292490 Planaltino";1;1
"292500 Planalto";-;1
"292520 Pojuca";8;6
"292525 Ponto Novo";-;2
"292530 Porto Seguro";18;30
"292540 Potiraguá";3;3
"292550 Prado";3;1
"292570 Presidente Jânio Quadros";3;2
"292575 Presidente Tancredo Neves";4;3
"292590 Quijingue";-;5
"292595 Rafael Jambeiro";-;3
"292600 Remanso";3;4
"292610 Retirolândia";2;2
"292620 Riachão das Neves";1;1
"292630 Riachão do Jacuípe";1;1
"292650 Ribeira do Amparo";-;1
"292660 Ribeira do Pombal";2;2
"292665 Ribeirão do Largo";-;1
"292670 Rio de Contas";3;3
"292680 Rio do Antônio";3;3
"292700 Rio Real";6;7
"292720 Ruy Barbosa";1;2
"292730 Salinas da Margarida";2;2
"292740 Salvador";66;88
"292750 Santa Bárbara";-;1
"292760 Santa Brígida";4;4
"292770 Santa Cruz Cabrália";3;6
"292780 Santa Cruz da Vitória";2;1
"292790 Santa Inês";2;1
"292805 Santa Luzia";-;3
"292810 Santa Maria da Vitória";3;3
"292840 Santa Rita de Cássia";2;3
"292850 Santa Teresinha";3;3
"292800 Santaluz";1;1
"292820 Santana";1;3
"292860 Santo Amaro";1;-
"292870 Santo Antônio de Jesus";10;11
"292880 Santo Estêvão";6;7
"292890 São Desidério";2;2
"292895 São Domingos";2;2
"292910 São Felipe";3;1
"292900 São Félix";6;5
"292920 São Francisco do Conde";5;4
"292925 São Gabriel";-;1
"292930 São Gonçalo dos Campos";5;5
"292940 São Miguel das Matas";1;1
"292950 São Sebastião do Passé";5;7
"292960 Sapeaçu";-;1
"292970 Sátiro Dias";4;1
"293000 Sebastião Laranjeiras";-;1
"293010 Senhor do Bonfim";4;2
"293030 Serra Dourada";-;1
"293040 Serra Preta";-;4
"293050 Serrinha";2;2
"293060 Serrolândia";1;-
"293070 Simões Filho";3;6
"293075 Sítio do Mato";-;1
"293077 Sobradinho";-;2
"293080 Souto Soares";-;1
"293100 Tanhaçu";3;2
"293105 Tanque Novo";2;3
"293110 Tanquinho";-;2
"293120 Taperoá";3;2
"293130 Tapiramutá";1;1
"293135 Teixeira de Freitas";14;15
"293140 Teodoro Sampaio";3;2
"293150 Teofilândia";-;1
"293160 Teolândia";1;1
"293170 Terra Nova";1;-
"293180 Tremedal";1;1
"293190 Tucano";6;8
"293220 Ubaitaba";1;2
"293245 Umburanas";1;1
"293250 Una";2;3
"293270 Uruçuca";2;2
"293280 Utinga";-;1
"293290 Valença";5;3
"293300 Valente";-;2
"293315 Várzea Nova";1;-
"293317 Varzedo";2;1
"293320 Vera Cruz";5;3
"293330 Vitória da Conquista";25;24
"293350 Wenceslau Guimarães";1;3
"293360 Xique-Xique";-;1
"310010 Abadia dos Dourados";1;-
"310020 Abaeté";2;3
"310030 Abre Campo";1;1
"310040 Acaiaca";1;2
"310050 Açucena";2;3
"310060 Água Boa";1;1
"310070 Água Comprida";1;1
"310080 Aguanil";1;1
"310090 Águas Formosas";3;1
"310100 Águas Vermelhas";3;3
"310120 Aiuruoca";1;2
"310140 Albertina";-;1
"310150 Além Paraíba";3;3
"310160 Alfenas";5;8
"310163 Alfredo Vasconcelos";1;1
"310170 Almenara";-;1
"310190 Alpinópolis";3;3
"310200 Alterosa";-;1
"310205 Alto Caparaó";1;1
"310210 Alto Rio Doce";5;4
"310230 Alvinópolis";2;2
"310240 Alvorada de Minas";1;1
"310260 Andradas";-;1
"310280 Andrelândia";1;1
"310285 Angelândia";1;1
"310290 Antônio Carlos";1;2
"310310 Antônio Prado de Minas";1;1
"310320 Araçaí";1;1
"310330 Aracitaba";2;2
"310340 Araçuaí";1;3
"310350 Araguari";8;6
"310360 Arantina";1;1
"310375 Araporã";2;2
"310380 Arapuá";1;1
"310390 Araújos";1;1
"310400 Araxá";4;4
"310420 Arcos";3;3
"310430 Areado";1;1
"310440 Argirita";3;2
"310450 Arinos";2;2
"310460 Astolfo Dutra";5;3
"310470 Ataléia";1;2
"310490 Baependi";-;3
"310500 Baldim";1;1
"310510 Bambuí";2;1
"310520 Bandeira";1;-
"310540 Barão de Cocais";6;6
"310560 Barbacena";12;15
"310570 Barra Longa";2;4
"310590 Barroso";2;3
"310600 Bela Vista de Minas";4;2
"310610 Belmiro Braga";1;1
"310620 Belo Horizonte";322;337
"310630 Belo Oriente";2;2
"310650 Berilo";1;3
"310670 Betim";1;15
"310690 Bicas";4;4
"310700 Biquinhas";-;1
"310730 Bocaiúva";8;9
"310740 Bom Despacho";3;2
"310750 Bom Jardim de Minas";3;1
"310760 Bom Jesus da Penha";1;1
"310770 Bom Jesus do Amparo";1;1
"310780 Bom Jesus do Galho";-;1
"310790 Bom Repouso";1;1
"310800 Bom Sucesso";5;4
"310820 Bonfinópolis de Minas";1;1
"310825 Bonito de Minas";2;1
