CNES - Recursos Humanos - Ocupações - segundo CBO 1994 - Brasil
Total por Município e Ano/mês compet.
Médicos: 06105-Em geral (clínico geral)
Período:Dez/2005, Dez/2006
"Município";"2005/Dez";"2006/Dez"
"231400 Várzea Alegre";10;13
"231410 Viçosa do Ceará";6;2
"240010 Acari";4;9
"240020 Açu";17;16
"240050 Alexandria";11;15
"240060 Almino Afonso";1;1
"240070 Alto do Rodrigues";2;1
"240080 Angicos";8;11
"240090 Antônio Martins";1;2
"240100 Apodi";12;11
"240110 Areia Branca";12;10
"240120 Arês";6;6
"240130 Augusto Severo";1;2
"240140 Baía Formosa";3;3
"240160 Bento Fernandes";6;6
"240170 Bom Jesus";2;2
"240180 Brejinho";5;5
"240190 Caiçara do Rio do Vento";2;1
"240200 Caicó";32;26
"240220 Canguaretama";2;3
"240230 Caraúbas";2;2
"240240 Carnaúba dos Dantas";5;5
"240250 Carnaubais";-;3
"240260 Ceará-Mirim";11;15
"240270 Cerro Corá";3;5
"240300 Cruzeta";3;2
"240310 Currais Novos";33;31
"240330 Encanto";2;2
"240340 Equador";3;2
"240350 Espírito Santo";4;1
"240360 Extremoz";3;3
"240375 Fernando Pedroza";1;-
"240380 Florânia";5;1
"240390 Francisco Dantas";1;-
"240400 Frutuoso Gomes";1;1
"240410 Galinhos";1;1
"240420 Goianinha";10;5
"240430 Governador Dix-Sept Rosado";1;3
"240440 Grossos";1;1
"240450 Guamaré";3;3
"240480 Ipueira";1;1
"240490 Itaú";2;2
"240500 Jaçanã";5;1
"240510 Jandaíra";2;2
"240530 Januário Cicco";1;1
"240540 Japi";2;1
"240560 Jardim de Piranhas";1;1
"240570 Jardim do Seridó";5;3
"240580 João Câmara";9;8
"240590 João Dias";1;1
"240600 José da Penha";4;4
"240610 Jucurutu";-;2
"240620 Lagoa d'Anta";2;3
"240630 Lagoa de Pedras";1;1
"240650 Lagoa Nova";1;1
"240660 Lagoa Salgada";2;1
"240670 Lajes";5;3
"240690 Lucrécia";1;1
"240700 Luís Gomes";6;2
"240710 Macaíba";6;7
"240720 Macau";3;4
"240725 Major Sales";-;1
"240730 Marcelino Vieira";1;1
"240740 Martins";1;1
"240750 Maxaranguape";1;1
"240760 Messias Targino";1;1
"240770 Montanhas";1;1
"240780 Monte Alegre";1;2
"240790 Monte das Gameleiras";1;1
"240800 Mossoró";42;46
"240810 Natal";377;375
"240830 Nova Cruz";6;4
"240840 Olho-d'Água do Borges";4;4
"240850 Ouro Branco";2;2
"240860 Paraná";-;1
"240880 Parazinho";1;1
"240890 Parelhas";7;4
"240325 Parnamirim";32;60
"240920 Passagem";2;2
"240930 Patu";1;1
"240940 Pau dos Ferros";13;13
"240970 Pedro Avelino";2;2
"240980 Pedro Velho";2;1
"241000 Pilões";1;1
"241010 Poço Branco";1;1
"241020 Portalegre";1;1
"241050 Rafael Fernandes";1;1
"241060 Rafael Godeiro";1;1
"241070 Riacho da Cruz";1;1
"241080 Riacho de Santana";1;-
"240895 Rio do Fogo";1;1
"241100 Rodolfo Fernandes";1;2
"241110 Ruy Barbosa";2;2
"241120 Santa Cruz";1;3
"240933 Santa Maria";1;1
"241140 Santana do Matos";3;3
"241142 Santana do Seridó";3;3
"241150 Santo Antônio";9;7
"241160 São Bento do Norte";3;-
"241170 São Bento do Trairí";1;1
"241180 São Fernando";1;1
"241190 São Francisco do Oeste";1;1
"241200 São Gonçalo do Amarante";24;28
"241210 São João do Sabugi";1;1
"241220 São José de Mipibu";18;16
"241230 São José do Campestre";5;4
"241240 São José do Seridó";1;1
"241250 São Miguel";1;3
"241260 São Paulo do Potengi";5;6
"241270 São Pedro";3;-
"241280 São Rafael";1;1
"241290 São Tomé";3;1
"241300 São Vicente";5;5
"241310 Senador Elói de Souza";1;1
"241030 Serra Caiada";-;1
"241330 Serra de São Bento";1;1
"241335 Serra do Mel";1;-
"241340 Serra Negra do Norte";4;3
"241350 Serrinha";1;1
"241355 Serrinha dos Pintos";2;-
"241360 Severiano Melo";1;2
"241370 Sítio Novo";1;2
"241380 Taboleiro Grande";-;2
"241390 Taipu";1;1
"241400 Tangará";3;3
"241410 Tenente Ananias";2;3
"241415 Tenente Laurentino Cruz";1;3
"241105 Tibau";1;1
"241420 Tibau do Sul";3;3
"241440 Touros";3;1
"241445 Triunfo Potiguar";1;1
"241450 Umarizal";3;3
"241475 Venha-Ver";2;2
"241480 Vera Cruz";1;1
"241500 Vila Flor";3;2
"250010 Água Branca";1;1
"250020 Aguiar";3;2
"250030 Alagoa Grande";5;1
"250040 Alagoa Nova";5;3
"250057 Algodão de Jandaíra";1;-
"250060 Alhandra";2;2
"250077 Aparecida";1;1
"250080 Araçagi";4;-
"250090 Arara";1;2
"250100 Araruna";3;3
"250110 Areia";3;-
"250120 Areial";1;2
"250140 Baía da Traição";1;1
"250150 Bananeiras";2;5
"250160 Barra de Santa Rosa";3;3
"250157 Barra de Santana";1;2
"250180 Bayeux";20;10
"250190 Belém";1;1
"250200 Belém do Brejo do Cruz";1;1
"250205 Bernardino Batista";1;-
"250210 Boa Ventura";1;-
"250215 Boa Vista";1;3
"250230 Bom Sucesso";2;2
"250240 Bonito de Santa Fé";2;1
"250250 Boqueirão";2;2
"250270 Borborema";1;-
"250280 Brejo do Cruz";2;6
"250290 Brejo dos Santos";3;2
"250300 Caaporã";8;7
"250310 Cabaceiras";-;2
"250320 Cabedelo";11;11
"250330 Cachoeira dos Índios";1;1
"250350 Cacimba de Dentro";2;2
"250360 Caiçara";2;2
"250370 Cajazeiras";5;7
"250375 Cajazeirinhas";1;1
"250390 Camalaú";4;4
"250400 Campina Grande";214;219
"250403 Capim";1;-
"250407 Caraúbas";1;-
"250415 Casserengue";1;1
"250420 Catingueira";1;1
"250430 Catolé do Rocha";20;13
"250435 Caturité";2;1
"250440 Conceição";10;6
"250460 Conde";7;6
"250470 Congo";2;-
"250480 Coremas";2;3
"250485 Coxixola";1;1
"250490 Cruz do Espírito Santo";1;-
"250500 Cubati";1;2
"250510 Cuité";3;1
"250523 Cuité de Mamanguape";-;1
"250520 Cuitegi";5;2
"250527 Curral de Cima";1;1
"250540 Desterro";7;2
"250560 Diamante";1;-
"250570 Dona Inês";3;3
"250580 Duas Estradas";1;1
"250600 Esperança";6;7
"250610 Fagundes";1;-
"250630 Guarabira";44;49
"250640 Gurinhém";1;1
"250650 Gurjão";-;1
"250660 Ibiara";1;1
"250670 Imaculada";3;2
"250690 Itabaiana";8;8
"250700 Itaporanga";6;6
"250720 Itatuba";2;1
"250730 Jacaraú";3;-
"250740 Jericó";3;1
"250750 João Pessoa";511;395
"251365 Joca Claudino";-;1
"250760 Juarez Távora";-;1
"250770 Juazeirinho";-;1
"250780 Junco do Seridó";1;1
"250800 Juru";2;1
"250810 Lagoa";1;1
"250830 Lagoa Seca";14;3
"250850 Livramento";2;2
"250860 Lucena";1;-
"250870 Mãe d'Água";3;3
"250880 Malta";1;1
"250890 Mamanguape";5;3
"250910 Mari";3;3
"250920 Massaranduba";2;3
"250937 Mato Grosso";1;-
"250950 Montadas";1;1
"250960 Monte Horebe";3;1
"250970 Monteiro";3;5
"250980 Mulungu";1;4
"250990 Natuba";2;2
"251010 Nova Floresta";1;2
"251020 Nova Olinda";4;1
"251030 Nova Palmeira";1;1
"251040 Olho d'Água";2;1
"251060 Ouro Velho";1;1
"251065 Parari";-;1
"251080 Patos";19;30
"251090 Paulista";4;4
"251100 Pedra Branca";1;1
"251120 Pedras de Fogo";8;5
"251272 Pedro Régis";1;1
"251130 Piancó";3;6
"251140 Picuí";8;7
"251150 Pilar";2;3
"251160 Pilões";-;2
"251170 Pilõezinhos";1;1
"251200 Pocinhos";2;1
"251203 Poço Dantas";-;1
"251207 Poço de José de Moura";1;1
"251210 Pombal";11;9
"251230 Princesa Isabel";9;10
"251250 Queimadas";2;3
"251270 Remígio";6;7
"251275 Riachão do Bacamarte";1;1
"251276 Riachão do Poço";1;2
"251280 Riacho dos Cavalos";5;4
"251290 Rio Tinto";4;3
"251310 Salgado de São Félix";2;1
"251320 Santa Cruz";4;2
"251335 Santa Inês";1;-
"251340 Santa Luzia";1;1
"251370 Santa Rita";30;29
"251350 Santana de Mangueira";1;1
"251360 Santana dos Garrotes";1;1
"251390 São Bento";1;1
"251394 São Domingos do Cariri";1;2
"251398 São Francisco";2;2
"251400 São João do Cariri";4;4
"250070 São João do Rio do Peixe";5;10
"251420 São José da Lagoa Tapada";1;1
"251430 São José de Caiana";1;-
"251480 São José dos Cordeiros";1;1
"251445 São José dos Ramos";1;1
"251490 São Mamede";3;3
"251520 São Sebastião do Umbuzeiro";2;2
"251530 Sapé";12;11
"251550 Serra Branca";2;3
"251560 Serra da Raiz";4;2
"251570 Serra Grande";1;1
"251580 Serra Redonda";3;1
"251590 Serraria";1;1
"251593 Sertãozinho";1;-
"251600 Solânea";8;9
"251610 Soledade";1;1
"251620 Sousa";54;65
"251630 Sumé";2;2
"251640 Tacima";1;1
"251650 Taperoá";5;4
"251660 Tavares";-;1
"251670 Teixeira";2;2
"251680 Triunfo";1;1
"251690 Uiraúna";10;7
"251700 Umbuzeiro";1;-
"260005 Abreu e Lima";5;4
"260010 Afogados da Ingazeira";17;23
"260020 Afrânio";7;7
"260030 Agrestina";12;14
"260040 Água Preta";6;2
"260050 Águas Belas";3;4
"260060 Alagoinha";1;5
"260070 Aliança";11;9
"260080 Altinho";4;3
"260090 Amaraji";-;1
"260100 Angelim";1;1
"260105 Araçoiaba";2;2
"260110 Araripina";9;13
"260120 Arcoverde";40;45
"260130 Barra de Guabiraba";4;3
"260140 Barreiros";15;18
"260150 Belém de Maria";2;2
"260160 Belém do São Francisco";14;7
"260170 Belo Jardim";20;11
"260180 Betânia";1;1
"260190 Bezerros";14;14
"260200 Bodocó";3;3
"260210 Bom Conselho";9;8
"260220 Bom Jardim";14;18
"260230 Bonito";14;15
"260240 Brejão";5;4
"260250 Brejinho";3;3
"260260 Brejo da Madre de Deus";6;6
"260270 Buenos Aires";6;6
"260280 Buíque";4;5
"260290 Cabo de Santo Agostinho";43;48
"260300 Cabrobó";1;2
"260310 Cachoeirinha";8;4
"260320 Caetés";6;5
"260330 Calçado";3;3
"260340 Calumbi";2;4
"260345 Camaragibe";17;17
"260350 Camocim de São Félix";3;2
"260370 Canhotinho";13;13
"260380 Capoeiras";4;5
"260390 Carnaíba";2;4
"260392 Carnaubeira da Penha";2;1
"260400 Carpina";22;23
"260410 Caruaru";36;69
"260415 Casinhas";8;9
"260420 Catende";2;1
"260430 Cedro";5;7
"260440 Chã de Alegria";2;2
"260450 Chã Grande";2;5
"260460 Condado";3;4
"260470 Correntes";6;7
"260480 Cortês";1;1
"260490 Cumaru";10;11
"260500 Cupira";10;2
"260510 Custódia";2;2
"260515 Dormentes";2;2
"260520 Escada";20;20
"260530 Exu";3;2
"260545 Fernando de Noronha";1;3
"260550 Ferreiros";1;1
"260560 Flores";9;11
"260570 Floresta";7;8
"260580 Frei Miguelinho";5;5
"260590 Gameleira";3;3
"260600 Garanhuns";53;61
"260610 Glória do Goitá";3;1
"260620 Goiana";32;38
"260630 Granito";2;1
"260640 Gravatá";22;25
"260650 Iati";1;2
"260660 Ibimirim";4;3
"260670 Ibirajuba";10;9
"260680 Igarassu";16;20
"260690 Iguaracy";2;5
"260760 Ilha de Itamaracá";9;8
"260700 Inajá";-;1
"260710 Ingazeira";2;2
"260720 Ipojuca";12;12
"260730 Ipubi";14;14
"260740 Itacuruba";1;1
"260750 Itaíba";4;4
"260765 Itambé";14;6
"260770 Itapetim";2;4
"260775 Itapissuma";7;7
"260780 Itaquitinga";2;2
"260790 Jaboatão dos Guararapes";110;141
"260795 Jaqueira";1;1
"260800 Jataúba";3;3
"260805 Jatobá";3;3
"260810 João Alfredo";14;10
"260820 Joaquim Nabuco";3;3
"260825 Jucati";1;1
"260830 Jupi";7;6
"260840 Jurema";1;-
"260850 Lagoa de Itaenga";2;2
"260845 Lagoa do Carro";5;6
"260860 Lagoa do Ouro";3;3
"260870 Lagoa dos Gatos";1;1
"260875 Lagoa Grande";1;3
"260880 Lajedo";28;13
"260890 Limoeiro";32;33
"260900 Macaparana";15;13
"260910 Machados";6;3
"260915 Manari";3;3
"260920 Maraial";2;2
"260930 Mirandiba";1;3
"261430 Moreilândia";2;2
"260940 Moreno";21;8
"260950 Nazaré da Mata";18;19
"260960 Olinda";63;61
"260970 Orobó";5;7
"260980 Orocó";1;1
"260990 Ouricuri";29;35
"261000 Palmares";15;15
"261010 Palmeirina";2;1
"261020 Panelas";2;3
"261030 Paranatama";2;2
"261040 Parnamirim";5;4
"261050 Passira";3;6
"261060 Paudalho";11;12
"261070 Paulista";60;61
"261080 Pedra";6;2
"261090 Pesqueira";44;18
"261100 Petrolândia";6;8
"261110 Petrolina";79;82
"261120 Poção";2;3
"261130 Pombos";6;6
"261140 Primavera";2;2
"261150 Quipapá";4;4
"261153 Quixaba";1;2
"261160 Recife";791;910
"261170 Riacho das Almas";14;11
"261180 Ribeirão";8;6
"261190 Rio Formoso";4;4
"261200 Sairé";16;12
"261210 Salgadinho";4;4
"261220 Salgueiro";35;40
"261230 Saloá";2;2
"261240 Sanharó";4;1
"261245 Santa Cruz";3;1
"261247 Santa Cruz da Baixa Verde";2;3
"261250 Santa Cruz do Capibaribe";8;7
"261255 Santa Filomena";2;1
"261260 Santa Maria da Boa Vista";16;17
"261270 Santa Maria do Cambucá";10;10
"261280 Santa Terezinha";5;5
"261290 São Benedito do Sul";2;1
"261300 São Bento do Una";7;5
"261310 São Caitano";10;5
"261320 São João";1;1
"261330 São Joaquim do Monte";13;5
"261350 São José do Belmonte";8;12
"261360 São José do Egito";23;17
"261370 São Lourenço da Mata";9;15
"261380 São Vicente Ferrer";6;6
"261390 Serra Talhada";43;75
"261400 Serrita";11;12
"261410 Sertânia";3;3
"261420 Sirinhaém";3;3
"261440 Solidão";-;2
"261450 Surubim";12;20
"261460 Tabira";10;16
"261470 Tacaimbó";4;5
"261480 Tacaratu";1;2
"261485 Tamandaré";4;4
"261500 Taquaritinga do Norte";6;7
"261510 Terezinha";2;1
"261520 Terra Nova";3;2
"261530 Timbaúba";4;5
"261540 Toritama";2;2
"261550 Tracunhaém";2;2
"261560 Trindade";5;4
"261570 Triunfo";3;4
"261580 Tupanatinga";4;3
"261590 Tuparetama";1;2
"261600 Venturosa";1;1
"261610 Verdejante";4;6
"261618 Vertente do Lério";4;4
"261620 Vertentes";9;8
"261630 Vicência";7;8
"261640 Vitória de Santo Antão";49;33
"261650 Xexéu";-;1
"270010 Água Branca";2;3
"270030 Arapiraca";67;77
"270040 Atalaia";7;7
"270050 Barra de Santo Antônio";3;1
"270060 Barra de São Miguel";3;-
"270070 Batalha";4;6
"270080 Belém";-;1
"270090 Belo Monte";-;1
"270100 Boca da Mata";1;2
"270110 Branquinha";2;1
"270120 Cacimbinhas";-;1
"270130 Cajueiro";1;3
"270135 Campestre";1;1
"270140 Campo Alegre";6;6
"270150 Campo Grande";-;1
"270170 Capela";2;2
"270190 Chã Preta";6;2
"270210 Colônia Leopoldina";3;2
"270220 Coqueiro Seco";2;2
"270230 Coruripe";8;6
"270235 Craíbas";9;10
"270240 Delmiro Gouveia";8;4
"270250 Dois Riachos";1;2
"270255 Estrela de Alagoas";1;1
"270260 Feira Grande";1;1
"270270 Feliz Deserto";-;1
"270290 Girau do Ponciano";-;4
"270300 Ibateguara";1;3
"270320 Igreja Nova";-;1
"270330 Inhapi";1;2
"270360 Japaratinga";2;2
"270380 Joaquim Gomes";5;5
"270390 Jundiá";-;1
"270420 Limoeiro de Anadia";4;4
"270430 Maceió";402;417
"270440 Major Isidoro";1;1
"270460 Maravilha";-;1
"270470 Marechal Deodoro";8;7
"270480 Maribondo";3;-
"270510 Matriz de Camaragibe";1;-
"270540 Monteirópolis";1;1
"270550 Murici";1;1
"270560 Novo Lino";4;4
"270570 Olho d'Água das Flores";1;3
"270580 Olho d'Água do Casado";1;1
"270600 Olivença";1;3
"270620 Palestina";2;2
"270630 Palmeira dos Índios";15;15
"270640 Pão de Açúcar";3;3
"270642 Pariconha";1;1
"270644 Paripueira";5;4
"270650 Passo de Camaragibe";-;1
"270660 Paulo Jacinto";2;2
"270670 Penedo";6;8
"270690 Pilar";3;1
"270710 Piranhas";4;5
"270720 Poço das Trincheiras";1;3
"270730 Porto Calvo";2;3
"270740 Porto de Pedras";1;-
"270760 Quebrangulo";8;2
"270770 Rio Largo";7;7
"270790 Santa Luzia do Norte";1;1
"270800 Santana do Ipanema";8;8
"270810 Santana do Mundaú";2;2
"270830 São José da Laje";1;3
"270840 São José da Tapera";2;3
"270850 São Luís do Quitunde";1;-
"270860 São Miguel dos Campos";10;9
"270870 São Miguel dos Milagres";3;4
"270890 Satuba";3;3
"270910 Taquarana";2;2
"270915 Teotônio Vilela";2;3
"270930 União dos Palmares";12;13
"270940 Viçosa";26;27
"280020 Aquidabã";2;2
"280030 Aracaju";382;528
"280040 Arauá";1;-
"280050 Areia Branca";1;-
"280060 Barra dos Coqueiros";4;-
"280067 Boquim";1;1
"280100 Campo do Brito";2;2
"280120 Canindé de São Francisco";4;2
"280130 Capela";11;8
"280140 Carira";2;2
"280190 Cumbe";3;3
"280200 Divina Pastora";2;2
"280210 Estância";24;26
"280220 Feira Nova";1;1
"280230 Frei Paulo";1;1
"280240 Gararu";2;-
"280280 Indiaroba";2;2
"280290 Itabaiana";7;13
"280300 Itabaianinha";2;1
"280320 Itaporanga d'Ajuda";7;5
"280330 Japaratuba";4;4
"280340 Japoatã";1;2
"280350 Lagarto";33;37
"280360 Laranjeiras";3;2
"280370 Macambira";2;2
"280390 Malhador";1;-
"280400 Maruim";1;1
"280410 Moita Bonita";1;1
"280420 Monte Alegre de Sergipe";1;-
"280440 Neópolis";4;4
"280450 Nossa Senhora da Glória";2;1
"280460 Nossa Senhora das Dores";13;13
"280470 Nossa Senhora de Lourdes";1;1
"280480 Nossa Senhora do Socorro";44;35
"280510 Pedrinhas";-;1
"280530 Pirambu";2;2
"280540 Poço Redondo";2;1
"280550 Poço Verde";7;7
"280560 Porto da Folha";7;7
"280570 Propriá";1;1
"280580 Riachão do Dantas";3;8
"280590 Riachuelo";5;5
"280600 Ribeirópolis";5;3
"280610 Rosário do Catete";6;6
"280620 Salgado";5;4
"280630 Santa Luzia do Itanhy";13;-
"280640 Santana do São Francisco";1;1
"280670 São Cristóvão";5;5
"280680 São Domingos";2;1
"280710 Simão Dias";37;37
"280740 Tobias Barreto";7;5
"280750 Tomar do Geru";1;1
"280760 Umbaúba";2;1
"290010 Abaíra";1;1
"290020 Abaré";2;2
"290030 Acajutiba";6;4
"290035 Adustina";5;9
"290040 Água Fria";3;3
"290060 Aiquara";-;4
"290070 Alagoinhas";56;65
"290080 Alcobaça";8;4
"290090 Almadina";1;1
"290100 Amargosa";7;9
"290115 América Dourada";4;3
"290120 Anagé";6;7
"290130 Andaraí";8;4
"290135 Andorinha";4;7
"290140 Angical";11;4
"290150 Anguera";1;1
"290160 Antas";9;5
"290170 Antônio Cardoso";1;1
"290180 Antônio Gonçalves";10;4
"290190 Aporá";7;5
"290195 Apuarema";3;2
"290205 Araças";5;9
"290200 Aracatu";11;14
"290210 Araci";9;13
"290220 Aramari";4;4
"290225 Arataca";6;4
"290230 Aratuípe";1;1
"290240 Aurelino Leal";-;1
"290250 Baianópolis";3;2
"290260 Baixa Grande";6;6
"290265 Banzaê";4;4
"290270 Barra";3;7
"290280 Barra da Estiva";7;5
"290290 Barra do Choça";6;6
"290300 Barra do Mendes";5;6
"290310 Barra do Rocha";7;3
"290320 Barreiras";49;46
"290323 Barro Alto";6;7
"290330 Barro Preto";6;5
"290327 Barrocas";2;2
"290340 Belmonte";1;10
"290350 Belo Campo";6;11
"290360 Biritinga";1;1
"290370 Boa Nova";3;1
"290380 Boa Vista do Tupim";2;3
"290390 Bom Jesus da Lapa";19;10
"290395 Bom Jesus da Serra";5;8
"290400 Boninal";2;2
"290405 Bonito";7;5
"290410 Boquira";12;8
"290420 Botuporã";7;6
"290430 Brejões";5;5
"290440 Brejolândia";3;2
"290450 Brotas de Macaúbas";6;5
"290460 Brumado";34;19
"290470 Buerarema";5;8
"290475 Buritirama";3;4
"290480 Caatiba";1;-
"290485 Cabaceiras do Paraguaçu";3;4
"290490 Cachoeira";17;18
"290500 Caculé";12;8
"290510 Caém";11;10
"290515 Caetanos";-;2
"290520 Caetité";21;15
"290530 Cafarnaum";7;3
"290540 Cairu";-;1
"290550 Caldeirão Grande";3;3
"290560 Camacan";10;9
"290570 Camaçari";81;85
"290580 Camamu";7;6
"290590 Campo Alegre de Lourdes";5;4
"290600 Campo Formoso";24;16
"290610 Canápolis";4;2
"290620 Canarana";9;7
"290630 Canavieiras";6;7
"290650 Candeias";14;36
"290660 Candiba";4;4
"290670 Cândido Sales";13;12
"290680 Cansanção";2;3
"290682 Canudos";4;4
"290685 Capela do Alto Alegre";1;3
"290687 Capim Grosso";10;10
"290689 Caraíbas";-;3
"290690 Caravelas";5;4
"290700 Cardeal da Silva";2;2
"290710 Carinhanha";13;11
"290720 Casa Nova";13;14
"290730 Castro Alves";9;12
"290750 Catu";2;4
"290755 Caturama";4;3
"290760 Central";5;7
"290770 Chorrochó";14;13
"290780 Cícero Dantas";14;11
"290790 Cipó";2;2
"290800 Coaraci";12;5
"290810 Cocos";10;3
"290820 Conceição da Feira";3;4
"290830 Conceição do Almeida";2;2
"290840 Conceição do Coité";7;7
"290850 Conceição do Jacuípe";9;15
"290860 Conde";2;2
"290870 Condeúba";9;11
"290880 Contendas do Sincorá";2;1
"290890 Coração de Maria";7;3
"290900 Cordeiros";5;5
"290910 Coribe";3;4
"290920 Coronel João Sá";1;1
"290930 Correntina";7;7
"290940 Cotegipe";3;4
"290950 Cravolândia";-;1
"290960 Crisópolis";2;2
"290970 Cristópolis";1;1
"290980 Cruz das Almas";11;14
"290990 Curaçá";7;4
"291000 Dário Meira";-;1
"291005 Dias d'Ávila";18;20
"291010 Dom Basílio";2;1
"291030 Elísio Medrado";3;1
"291040 Encruzilhada";11;9
"291050 Entre Rios";24;19
"290050 Érico Cardoso";2;2
"291060 Esplanada";9;12
"291070 Euclides da Cunha";19;21
"291072 Eunápolis";74;71
"291075 Fátima";3;3
"291077 Feira da Mata";-;1
"291080 Feira de Santana";82;107
"291085 Filadélfia";10;10
"291090 Firmino Alves";6;1
"291100 Floresta Azul";3;3
"291110 Formosa do Rio Preto";5;5
"291120 Gandu";16;17
"291125 Gavião";2;-
"291130 Gentio do Ouro";4;3
"291140 Glória";2;2
"291150 Gongogi";3;-
"291160 Governador Mangabeira";6;5
"291165 Guajeru";2;3
"291170 Guanambi";78;73
"291180 Guaratinga";9;9
"291185 Heliópolis";1;1
"291190 Iaçu";6;6
"291200 Ibiassucê";5;3
"291210 Ibicaraí";7;6
"291220 Ibicoara";2;1
"291230 Ibicuí";4;3
"291240 Ibipeba";6;8
"291250 Ibipitanga";4;5
"291260 Ibiquera";1;1
"291270 Ibirapitanga";11;9
"291280 Ibirapuã";2;2
"291290 Ibirataia";12;14
"291300 Ibitiara";6;5
"291310 Ibititá";2;5
"291320 Ibotirama";11;9
"291330 Ichu";2;1
"291340 Igaporã";3;4
"291345 Igrapiúna";10;10
"291350 Iguaí";12;11
"291360 Ilhéus";104;108
"291370 Inhambupe";6;8
"291380 Ipecaetá";2;8
"291390 Ipiaú";28;24
"291400 Ipirá";10;10
"291410 Ipupiara";3;2
"291420 Irajuba";4;1
"291430 Iramaia";5;5
"291440 Iraquara";4;3
"291450 Irará";13;12
"291460 Irecê";29;27
"291465 Itabela";10;5
"291470 Itaberaba";16;18
"291480 Itabuna";64;73
"291490 Itacaré";14;18
"291500 Itaeté";1;1
"291510 Itagi";4;3
"291520 Itagibá";11;11
"291530 Itagimirim";-;1
"291535 Itaguaçu da Bahia";4;4
"291540 Itaju do Colônia";1;1
"291550 Itajuípe";7;10
"291560 Itamaraju";25;24
"291570 Itamari";11;9
"291580 Itambé";8;6
"291590 Itanagra";-;1
"291600 Itanhém";1;1
"291610 Itaparica";16;14
"291620 Itapé";3;1
"291630 Itapebi";2;2
"291640 Itapetinga";22;18
"291650 Itapicuru";12;13
"291660 Itapitanga";9;6
"291670 Itaquara";1;1
"291680 Itarantim";3;3
"291685 Itatim";3;3
"291690 Itiruçu";3;3
"291700 Itiúba";11;11
"291710 Itororó";9;8
"291720 Ituaçu";1;2
"291730 Ituberá";10;7
"291733 Iuiú";1;1
"291735 Jaborandi";1;1
"291740 Jacaraci";1;4
"291750 Jacobina";34;41
"291760 Jaguaquara";16;12
"291770 Jaguarari";15;13
"291780 Jaguaripe";9;9
"291790 Jandaíra";-;2
"291800 Jequié";70;73
"291810 Jeremoabo";7;7
"291820 Jiquiriçá";7;6
"291830 Jitaúna";3;6
"291835 João Dourado";11;4
"291840 Juazeiro";23;26
"291845 Jucuruçu";1;1
"291850 Jussara";2;3
"291855 Jussari";6;4
"291860 Jussiape";6;2
"291870 Lafaiete Coutinho";1;-
"291875 Lagoa Real";2;2
"291890 Lajedão";1;1
"291905 Lajedo do Tabocal";4;3
"291910 Lamarão";1;3
"291915 Lapão";8;5
"291920 Lauro de Freitas";92;46
"291930 Lençóis";-;1
"291940 Licínio de Almeida";11;6
"291950 Livramento de Nossa Senhora";21;34
"291955 Luís Eduardo Magalhães";13;12
"291960 Macajuba";7;4
"291970 Macarani";5;6
"291980 Macaúbas";12;13
"291990 Macururé";1;1
"291992 Madre de Deus";8;8
"291995 Maetinga";2;2
"292000 Maiquinique";4;4
"292010 Mairi";9;4
"292020 Malhada";4;5
"292030 Malhada de Pedras";2;2
"292040 Manoel Vitorino";-;1
"292045 Mansidão";3;2
"292050 Maracás";18;12
"292060 Maragogipe";8;11
"292070 Maraú";7;12
"292080 Marcionílio Souza";2;3
"292090 Mascote";1;-
"292100 Mata de São João";14;20
"292105 Matina";17;5
"292110 Medeiros Neto";6;6
"292120 Miguel Calmon";10;11
"292130 Milagres";6;6
"292140 Mirangaba";2;-
"292145 Mirante";2;2
"292150 Monte Santo";4;11
"292160 Morpará";2;1
"292170 Morro do Chapéu";9;10
"292180 Mortugaba";10;12
"292190 Mucugê";2;2
"292200 Mucuri";15;15
"292205 Mulungu do Morro";5;8
"292210 Mundo Novo";12;7
"292220 Muniz Ferreira";1;1
"292225 Muquém de São Francisco";2;3
"292230 Muritiba";14;16
"292240 Mutuípe";8;8
"292250 Nazaré";7;14
"292260 Nilo Peçanha";-;1
"292265 Nordestina";6;7
"292270 Nova Canaã";6;2
"292273 Nova Fátima";1;1
"292275 Nova Ibiá";3;3
"292290 Nova Soure";11;10
"292300 Nova Viçosa";7;9
"292303 Novo Horizonte";1;1
"292305 Novo Triunfo";2;2
"292310 Olindina";14;9
"292320 Oliveira dos Brejinhos";4;3
"292330 Ouriçangas";-;3
"292335 Ourolândia";1;1
"292340 Palmas de Monte Alto";8;11
"292350 Palmeiras";1;1
"292360 Paramirim";19;18
"292370 Paratinga";8;7
"292380 Paripiranga";7;7
"292390 Pau Brasil";4;2
"292400 Paulo Afonso";45;38
"292405 Pé de Serra";8;4
"292420 Pedro Alexandre";-;1
"292430 Piatã";3;4
"292440 Pilão Arcado";1;3
"292450 Pindaí";8;7
"292460 Pindobaçu";5;5
"292465 Pintadas";4;3
"292467 Piraí do Norte";1;1
"292470 Piripá";3;3
"292480 Piritiba";2;2
"292490 Planaltino";2;1
"292500 Planalto";5;6
"292510 Poções";18;15
"292520 Pojuca";29;29
"292525 Ponto Novo";7;8
"292530 Porto Seguro";15;20
"292540 Potiraguá";2;2
"292550 Prado";3;5
"292560 Presidente Dutra";8;9
"292570 Presidente Jânio Quadros";8;6
"292575 Presidente Tancredo Neves";2;5
